,GEOID,new_district
380,1400000US05075470501,1.0
381,1400000US05075470502,1.0
382,1400000US05077470100,4.0
383,1400000US05077470200,4.0
384,1400000US05077470300,4.0
385,1400000US05077470400,4.0
386,1400000US05079960300,4.0
387,1400000US05079960400,4.0
388,1400000US05079960500,4.0
389,1400000US05079960600,4.0
390,1400000US05081030101,4.0
391,1400000US05081030103,4.0
392,1400000US05081030104,4.0
393,1400000US05081030200,4.0
394,1400000US05081030301,4.0
395,1400000US05081030302,4.0
396,1400000US05083950100,4.0
397,1400000US05083950200,4.0
398,1400000US05083950300,4.0
399,1400000US05083950400,4.0
400,1400000US05083950500,4.0
401,1400000US05083950600,4.0
402,1400000US05085020102,2.0
403,1400000US05085020103,2.0
404,1400000US05085020105,2.0
405,1400000US05085020106,2.0
406,1400000US05085020107,2.0
407,1400000US05085020108,2.0
408,1400000US05085020201,2.0
409,1400000US05085020202,2.0
410,1400000US05085020204,2.0
411,1400000US05085020205,2.0
412,1400000US05085020206,2.0
413,1400000US05085020301,2.0
414,1400000US05085020302,2.0
415,1400000US05085020400,2.0
416,1400000US05085020500,2.0
417,1400000US05085020600,2.0
418,1400000US05085020700,2.0
419,1400000US05085020800,2.0
420,1400000US05087960100,3.0
421,1400000US05087960200,3.0
422,1400000US05087960300,3.0
423,1400000US05087960400,3.0
424,1400000US05089960100,1.0
425,1400000US05089960201,1.0
426,1400000US05089960202,1.0
427,1400000US05089960301,1.0
428,1400000US05089960302,1.0
429,1400000US05091020100,4.0
430,1400000US05091020200,4.0
431,1400000US05091020400,4.0
432,1400000US05091020500,4.0
433,1400000US05091020600,4.0
434,1400000US05091020701,4.0
435,1400000US05091020702,4.0
436,1400000US05091020801,4.0
437,1400000US05091020802,4.0
438,1400000US05091020901,4.0
439,1400000US05091020902,4.0
440,1400000US05091021001,4.0
441,1400000US05091021002,4.0
442,1400000US05091980000,4.0
443,1400000US05093010100,1.0
444,1400000US05093010200,1.0
445,1400000US05093010300,1.0
446,1400000US05093010601,1.0
447,1400000US05093010602,1.0
448,1400000US05093010700,1.0
449,1400000US05093010801,1.0
450,1400000US05093010802,1.0
451,1400000US05093010900,1.0
452,1400000US05093011000,1.0
453,1400000US05093011100,1.0
454,1400000US05093011200,1.0
455,1400000US05093011300,1.0
456,1400000US05093011400,1.0
457,1400000US05095950100,4.0
458,1400000US05095950200,4.0
459,1400000US05095950300,4.0
460,1400000US05097953000,4.0
461,1400000US05097953100,4.0
462,1400000US05097953200,4.0
463,1400000US05099090100,4.0
464,1400000US05099090200,4.0
465,1400000US05099090300,4.0
466,1400000US05101180100,1.0
467,1400000US05101180200,1.0
468,1400000US05103950101,4.0
469,1400000US05103950102,4.0
470,1400000US05103950200,4.0
471,1400000US05103950301,4.0
472,1400000US05103950302,4.0
473,1400000US05103950400,4.0
474,1400000US05103950500,4.0
475,1400000US05103950600,4.0
476,1400000US05105952700,2.0
477,1400000US05105952800,2.0
478,1400000US05105952900,2.0
479,1400000US05107480100,4.0
480,1400000US05107480201,4.0
481,1400000US05107480202,4.0
482,1400000US05107480300,4.0
483,1400000US05107480400,4.0
484,1400000US05107480500,4.0
485,1400000US05107480600,4.0
486,1400000US05109953300,4.0
487,1400000US05109953400,4.0
488,1400000US05109953500,4.0
489,1400000US05111490100,1.0
490,1400000US05111490200,1.0
491,1400000US05111490300,1.0
492,1400000US05111490400,1.0
493,1400000US05111490501,1.0
494,1400000US05111490502,1.0
495,1400000US05111490600,1.0
496,1400000US05111490700,1.0
497,1400000US05113950100,4.0
498,1400000US05113950201,4.0
499,1400000US05113950202,4.0
500,1400000US05113950300,4.0
501,1400000US05113950400,4.0
502,1400000US05113950500,4.0
503,1400000US05113950600,4.0
504,1400000US05115950700,1.0
505,1400000US05115950800,1.0
506,1400000US05115950901,1.0
507,1400000US05115950902,1.0
508,1400000US05115951000,1.0
509,1400000US05115951100,1.0
510,1400000US05115951201,1.0
511,1400000US05115951202,1.0
512,1400000US05115951301,1.0
513,1400000US05115951302,1.0
514,1400000US05115951303,1.0
515,1400000US05115951400,1.0
516,1400000US05115951501,1.0
517,1400000US05115951503,1.0
518,1400000US05115951504,1.0
519,1400000US05115951601,1.0
520,1400000US05115951602,1.0
521,1400000US05117460100,4.0
522,1400000US05117460200,4.0
523,1400000US05117460300,4.0
524,1400000US05119000500,2.0
525,1400000US05119001100,2.0
526,1400000US05119001200,2.0
527,1400000US05119001300,2.0
528,1400000US05119001501,2.0
529,1400000US05119001502,2.0
530,1400000US05119001600,2.0
531,1400000US05119001800,2.0
532,1400000US05119001900,2.0
533,1400000US05119002001,2.0
534,1400000US05119002002,2.0
535,1400000US05119002102,2.0
536,1400000US05119002103,2.0
537,1400000US05119002104,2.0
538,1400000US05119002203,2.0
539,1400000US05119002206,2.0
540,1400000US05119002208,2.0
541,1400000US05119002209,2.0
542,1400000US05119002210,2.0
543,1400000US05119002211,2.0
544,1400000US05119002403,2.0
545,1400000US05119002405,2.0
546,1400000US05119002406,2.0
547,1400000US05119002407,2.0
548,1400000US05119002409,2.0
549,1400000US05119002410,2.0
550,1400000US05119002500,2.0
551,1400000US05119002600,2.0
552,1400000US05119002700,2.0
553,1400000US05119002800,2.0
554,1400000US05119002900,2.0
555,1400000US05119003001,2.0
556,1400000US05119003002,2.0
557,1400000US05119003100,2.0
558,1400000US05119003202,2.0
559,1400000US05119003207,2.0
560,1400000US05119003208,2.0
561,1400000US05119003303,2.0
562,1400000US05119003305,2.0
563,1400000US05119003306,2.0
564,1400000US05119003307,2.0
565,1400000US05119003308,2.0
566,1400000US05119003403,2.0
567,1400000US05119003404,2.0
568,1400000US05119003405,2.0
569,1400000US05119003406,2.0
570,1400000US05119003604,2.0
571,1400000US05119003605,2.0
572,1400000US05119003606,2.0
573,1400000US05119003607,2.0
574,1400000US05119003608,2.0
575,1400000US05119003609,2.0
576,1400000US05119003703,2.0
577,1400000US05119003704,2.0
578,1400000US05119003707,2.0
579,1400000US05119003711,2.0
580,1400000US05119003712,2.0
581,1400000US05119003713,2.0
582,1400000US05119003714,2.0
583,1400000US05119003800,2.0
584,1400000US05119003900,2.0
585,1400000US05119004001,2.0
586,1400000US05119004004,2.0
587,1400000US05119004005,2.0
588,1400000US05119004006,2.0
589,1400000US05119004007,2.0
590,1400000US05119004103,2.0
591,1400000US05119004104,2.0
592,1400000US05119004105,2.0
593,1400000US05119004106,2.0
594,1400000US05119004107,2.0
595,1400000US05119004108,2.0
596,1400000US05119004201,2.0
597,1400000US05119004202,2.0
598,1400000US05119004205,2.0
599,1400000US05119004213,2.0
600,1400000US05119004214,2.0
601,1400000US05119004215,2.0
602,1400000US05119004218,2.0
603,1400000US05119004219,2.0
604,1400000US05119004220,2.0
